Comment,Designator,Footprint,JLCPCB Part #（optional）
ES8389 audio codec,U1,QFN-24 3x3 P0.35mm,C22380673
Ultra-low-noise LDO 3.3V,U2,SOT-23-5,C2862740
Optocoupler,OK1,SO-4,C114603
P-MOSFET 150V,Q1,SOT-23,C60773
"ESD array, 4-line","D1,D2",SOT-353,C70500
TVS 58V 600W bidir,D6,SMA,C151267
Zener 12V 0.5W,D7,SOD-123,C82050
"LED, red",D8,0805,C598272
PPTC 100mA hold / 60V,F1,1812,C207062
Ferrite 600R @100MHz,FB1,0603,C19330
100nF 50V X7R,"C1,C3,C4",0402,C131394
1uF 25V X5R,"C2,C5,C7,C8,C9,C12,C13,C20,C21",0402,C52923
10uF 16V X5R,C6,0805,C77075
1uF 100V X7R,"C10,C11",0805,C5370002
22uF 10V X5R,"C14,C15",0805,C29277
10uF 100V X7S,C16,1210,C22380050
100nF 100V X7R,C17,0805,C89258
1uF 100V X7R,C18,1206,C13832
2.2uF 10V X5R,C22,0402,C107369
10k 1%,"R1,R2,R3,R4",0402,
6.81k 1%,"R5,R6",0805,
2.2k 1%,R7,0402,
33R 1%,"R9,R10",0402,
100k 1%,"R11,R13",0402,
1k 1%,R12,0402,
33k 1%,R16,0805,
"1x7 female socket, 8.5mm","J3,J4",PinSocket_1x07_2.54mm TH,C2832270
SPDT slide switch (phantom on/off),SW1,SW_Slide_SS-12D00-G3 TH,C22355741
