Designator,Mid X,Mid Y,Layer,Rotation
C1,119.7500mm,-84.7500mm,Bottom,180
C2,118.4741mm,-88.0043mm,Bottom,180
C3,116.8111mm,-87.6614mm,Bottom,0
C4,118.5000mm,-95.0000mm,Bottom,180
C5,118.5000mm,-96.5000mm,Bottom,180
C6,121.0000mm,-87.7500mm,Bottom,180
C7,121.0000mm,-95.0000mm,Bottom,180
C8,121.0000mm,-96.5000mm,Bottom,0
C9,123.5000mm,-86.0000mm,Bottom,0
C10,95.8342mm,-94.1426mm,Bottom,270
C11,92.6592mm,-82.3570mm,Bottom,90
C12,107.0000mm,-96.0000mm,Bottom,90
C13,111.0000mm,-96.0000mm,Bottom,180
C14,110.5708mm,-94.5000mm,Top,0
C15,110.5708mm,-96.5000mm,Top,0
C17,88.0000mm,-83.0000mm,Bottom,90
C18,114.0684mm,-85.1945mm,Bottom,0
C20,113.0000mm,-96.0000mm,Bottom,180
C21,124.8664mm,-84.8614mm,Top,0
C22,124.8410mm,-86.7410mm,Top,0
D1,108.1256mm,-85.4426mm,Top,180
D2,110.0000mm,-94.0000mm,Bottom,0
D6,89.0270mm,-90.7034mm,Bottom,270
D7,113.8727mm,-88.4915mm,Bottom,270
D8,127.8368mm,-95.7073mm,Bottom,0
F1,100.6817mm,-98.0186mm,Bottom,0
FB1,121.0000mm,-86.0000mm,Bottom,0
J3,115.5700mm,-81.9150mm,Top,90
J4,115.5700mm,-99.4918mm,Top,90
J6,101.5002mm,-81.9249mm,Top,90
K1,117.2500mm,-89.7700mm,Top,90
K2,124.7553mm,-94.1051mm,Top,270
OK1,104.3314mm,-84.7737mm,Bottom,90
Q1,95.8342mm,-90.7034mm,Bottom,0
R1,130.5000mm,-97.5614mm,Bottom,0
R2,130.5000mm,-96.5000mm,Bottom,180
R3,123.5000mm,-95.0000mm,Bottom,0
R4,123.5000mm,-96.5000mm,Bottom,180
R5,95.8342mm,-87.2979mm,Bottom,270
R6,90.3986mm,-83.0053mm,Bottom,270
R7,116.5000mm,-96.0000mm,Bottom,180
R9,112.5708mm,-94.5000mm,Top,0
R10,112.5708mm,-96.5000mm,Top,0
R11,101.4399mm,-84.4311mm,Top,0
R12,109.1110mm,-91.3892mm,Bottom,0
R13,101.4221mm,-85.7997mm,Top,180
R16,129.7500mm,-93.8375mm,Top,270
R17,117.0000mm,-92.2500mm,Top,0
R18,116.0000mm,-94.0000mm,Top,0
SW1,127.8460mm,-90.7465mm,Bottom,180
U1,116.2730mm,-92.3480mm,Bottom,90
U2,121.7956mm,-85.8379mm,Top,180
